series_id,series_name,year,value
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2022,670.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2021,686.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2020,572.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2019,647.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2018,545.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2017,534.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2016,568.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2015,451.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2014,495.0
Unknown,"01 Andalucía, 8 Contra la libertad e indemnidad sexuales",2013,532.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2022,1373.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2021,1295.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2020,1070.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2019,1388.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2018,1498.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2017,1519.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2016,1479.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2015,1506.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2014,1377.0
Unknown,"01 Andalucía, 12 Contra las relaciones familiares",2013,1318.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2022,1369.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2021,1293.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2020,1069.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2019,1386.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2018,1492.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2017,1514.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2016,1478.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2015,1503.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2014,1375.0
Unknown,"01 Andalucía, 12.3 Contra los derechos y deberes familiares",2013,1317.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2022,12.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2021,10.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2020,2.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2019,10.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2018,15.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2017,20.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2016,17.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2015,11.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2014,10.0
Unknown,"01 Andalucía, 12.3.1 Quebrantamiento de los deberes de custodia",2013,15.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2022,5.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2021,8.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2020,6.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2019,2.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2018,6.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2017,3.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2016,6.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2015,3.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2014,5.0
Unknown,"01 Andalucía, 12.3.2 Sustracción de menores",2013,5.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2022,1352.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2021,1275.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2020,1061.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2019,1374.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2018,1471.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2017,1491.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2016,1455.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2015,1489.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2014,1360.0
Unknown,"01 Andalucía, 12.3.3 Abandono de familia",2013,1297.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2022,4.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2021,2.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2020,1.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2019,2.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2018,6.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2017,5.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2016,1.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2015,3.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2014,2.0
Unknown,"01 Andalucía, 12.99 Otros delitos contra las relaciones familiares",2013,1.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2022,83.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2021,113.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2020,66.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2019,72.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2018,86.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2017,88.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2016,65.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2015,66.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2014,42.0
Unknown,"02 Aragón, 8 Contra la libertad e indemnidad sexuales",2013,54.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2022,129.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2021,127.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2020,128.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2019,144.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2018,157.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2017,130.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2016,141.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2015,135.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2014,149.0
Unknown,"02 Aragón, 12 Contra las relaciones familiares",2013,156.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2022,126.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2021,127.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2020,128.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2019,143.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2018,157.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2017,130.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2016,141.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2015,135.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2014,148.0
Unknown,"02 Aragón, 12.3 Contra los derechos y deberes familiares",2013,156.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2022,0.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2021,1.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2020,2.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2019,0.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2018,1.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2017,2.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2016,1.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2015,3.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2014,0.0
Unknown,"02 Aragón, 12.3.1 Quebrantamiento de los deberes de custodia",2013,1.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2022,0.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2021,1.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2020,0.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2019,2.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2018,0.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2017,0.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2016,1.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2015,1.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2014,1.0
Unknown,"02 Aragón, 12.3.2 Sustracción de menores",2013,1.0
Unknown,"02 Aragón, 12.3.3 Abandono de familia",2022,126.0
Unknown,"02 Aragón, 12.3.3 Abandono de familia",2021,125.0
Unknown,"02 Aragón, 12.3.3 Abandono de familia",2020,126.0
Unknown,"02 Aragón, 12.3.3 Abandono de familia",2019,141.0
Unknown,"02 Aragón, 12.3.3 Abandono de familia",2018,156.0
Unknown,"02 Aragón, 12.3.3 Abandono de familia",2017,128.0
Unknown,"02 Aragón, 12.3.3 Abandono de familia",2016,139.0
