series_id,series_name,year,value
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2024,14579.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2023,13119.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2022,14814.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2021,16267.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2020,13992.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2019,17078.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2018,16935.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2017,17437.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2016,16969.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2015,17030.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2014,17377.0
ENSD7236,Divorcios. Andalucía. Dato base. Total. ,2013,16473.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2024,11218.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2023,10365.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2022,11424.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2021,12155.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2020,11114.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2019,12901.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2018,12478.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2017,12752.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2016,12108.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2015,11934.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2014,12244.0
ENSD7235,Divorcios. Andalucía. Dato base. Divorcio No Contencioso. ,2013,11381.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2024,3361.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2023,2754.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2022,3390.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2021,4112.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2020,2878.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2019,4177.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2018,4457.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2017,4685.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2016,4861.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2015,5096.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2014,5133.0
ENSD7234,Divorcios. Andalucía. Dato base. Divorcio contencioso. ,2013,5093.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2024,2137.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2023,2073.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2022,2173.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2021,2024.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2020,1610.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2019,2041.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2018,2538.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2017,2286.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2016,2389.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2015,2853.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2014,2382.0
ENSD7233,Divorcios. Aragón. Dato base. Total. ,2013,2149.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2024,1732.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2023,1747.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2022,1787.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2021,1667.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2020,1357.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2019,1657.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2018,2026.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2017,1796.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2016,1870.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2015,2207.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2014,1827.0
ENSD7232,Divorcios. Aragón. Dato base. Divorcio No Contencioso. ,2013,1700.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2024,406.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2023,326.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2022,386.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2021,357.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2020,253.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2019,384.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2018,511.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2017,490.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2016,519.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2015,647.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2014,555.0
ENSD7231,Divorcios. Aragón. Dato base. Divorcio contencioso. ,2013,449.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2024,1825.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2023,1532.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2022,1756.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2021,1869.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2020,1696.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2019,2095.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2018,2078.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2017,2252.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2016,2265.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2015,2264.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2014,2456.0
ENSD7230,"Divorcios. Asturias, Principado de. Dato base. Total. ",2013,2227.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2024,1438.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2023,1293.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2022,1419.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2021,1465.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2020,1390.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2019,1678.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2018,1605.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2017,1742.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2016,1738.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2015,1666.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2014,1788.0
ENSD7229,"Divorcios. Asturias, Principado de. Dato base. Divorcio No Contencioso. ",2013,1714.0
ENSD7228,"Divorcios. Asturias, Principado de. Dato base. Divorcio contencioso. ",2024,387.0
ENSD7228,"Divorcios. Asturias, Principado de. Dato base. Divorcio contencioso. ",2023,240.0
ENSD7228,"Divorcios. Asturias, Principado de. Dato base. Divorcio contencioso. ",2022,337.0
ENSD7228,"Divorcios. Asturias, Principado de. Dato base. Divorcio contencioso. ",2021,404.0
ENSD7228,"Divorcios. Asturias, Principado de. Dato base. Divorcio contencioso. ",2020,305.0
