series_id,series_name,year,value
Unknown,"Andalucía, Total (Parejas), Total (Parejas)",2020,2020.6
Unknown,"Andalucía, Total (Parejas), Total (Parejas)",2019,2022.3
Unknown,"Andalucía, Total (Parejas), Total (Parejas)",2018,2010.8
Unknown,"Andalucía, Total (Parejas), Total (Parejas)",2017,1990.9
Unknown,"Andalucía, Total (Parejas), Total (Parejas)",2016,2003.5
Unknown,"Andalucía, Total (Parejas), Total (Parejas)",2015,2022.6
Unknown,"Andalucía, Total (Parejas), Total (Parejas)",2014,2034.2
Unknown,"Andalucía, Total (Parejas), Ambos españoles",2020,1805.0
Unknown,"Andalucía, Total (Parejas), Ambos españoles",2019,1807.0
Unknown,"Andalucía, Total (Parejas), Ambos españoles",2018,1810.8
Unknown,"Andalucía, Total (Parejas), Ambos españoles",2017,1795.5
Unknown,"Andalucía, Total (Parejas), Ambos españoles",2016,1795.0
Unknown,"Andalucía, Total (Parejas), Ambos españoles",2015,1820.9
Unknown,"Andalucía, Total (Parejas), Ambos españoles",2014,1834.7
Unknown,"Andalucía, Total (Parejas), Ambos extranjeros",2020,129.8
Unknown,"Andalucía, Total (Parejas), Ambos extranjeros",2019,122.4
Unknown,"Andalucía, Total (Parejas), Ambos extranjeros",2018,114.5
Unknown,"Andalucía, Total (Parejas), Ambos extranjeros",2017,111.2
Unknown,"Andalucía, Total (Parejas), Ambos extranjeros",2016,122.3
Unknown,"Andalucía, Total (Parejas), Ambos extranjeros",2015,124.3
Unknown,"Andalucía, Total (Parejas), Ambos extranjeros",2014,117.7
Unknown,"Andalucía, Total (Parejas), Español con pareja extranjera",2020,51.2
Unknown,"Andalucía, Total (Parejas), Español con pareja extranjera",2019,55.8
Unknown,"Andalucía, Total (Parejas), Español con pareja extranjera",2018,53.4
Unknown,"Andalucía, Total (Parejas), Español con pareja extranjera",2017,52.6
Unknown,"Andalucía, Total (Parejas), Español con pareja extranjera",2016,53.2
Unknown,"Andalucía, Total (Parejas), Español con pareja extranjera",2015,47.7
Unknown,"Andalucía, Total (Parejas), Español con pareja extranjera",2014,51.8
Unknown,"Andalucía, Total (Parejas), Española con pareja extranjera",2020,34.7
Unknown,"Andalucía, Total (Parejas), Española con pareja extranjera",2019,37.0
Unknown,"Andalucía, Total (Parejas), Española con pareja extranjera",2018,32.0
Unknown,"Andalucía, Total (Parejas), Española con pareja extranjera",2017,31.7
Unknown,"Andalucía, Total (Parejas), Española con pareja extranjera",2016,33.0
Unknown,"Andalucía, Total (Parejas), Española con pareja extranjera",2015,29.7
Unknown,"Andalucía, Total (Parejas), Española con pareja extranjera",2014,30.0
Unknown,"Andalucía, Pareja casada, Total (Parejas)",2020,1740.6
Unknown,"Andalucía, Pareja casada, Total (Parejas)",2019,1764.3
Unknown,"Andalucía, Pareja casada, Total (Parejas)",2018,1761.8
Unknown,"Andalucía, Pareja casada, Total (Parejas)",2017,1738.8
Unknown,"Andalucía, Pareja casada, Total (Parejas)",2016,1753.8
Unknown,"Andalucía, Pareja casada, Total (Parejas)",2015,1786.9
Unknown,"Andalucía, Pareja casada, Total (Parejas)",2014,1799.2
Unknown,"Andalucía, Pareja casada, Ambos españoles",2020,1578.0
Unknown,"Andalucía, Pareja casada, Ambos españoles",2019,1604.8
Unknown,"Andalucía, Pareja casada, Ambos españoles",2018,1607.1
Unknown,"Andalucía, Pareja casada, Ambos españoles",2017,1589.9
Unknown,"Andalucía, Pareja casada, Ambos españoles",2016,1601.9
Unknown,"Andalucía, Pareja casada, Ambos españoles",2015,1630.0
Unknown,"Andalucía, Pareja casada, Ambos españoles",2014,1640.7
Unknown,"Andalucía, Pareja casada, Ambos extranjeros",2020,110.0
Unknown,"Andalucía, Pareja casada, Ambos extranjeros",2019,101.3
Unknown,"Andalucía, Pareja casada, Ambos extranjeros",2018,98.5
Unknown,"Andalucía, Pareja casada, Ambos extranjeros",2017,96.2
Unknown,"Andalucía, Pareja casada, Ambos extranjeros",2016,102.3
Unknown,"Andalucía, Pareja casada, Ambos extranjeros",2015,108.0
Unknown,"Andalucía, Pareja casada, Ambos extranjeros",2014,100.5
Unknown,"Andalucía, Pareja casada, Español con pareja extranjera",2020,33.0
Unknown,"Andalucía, Pareja casada, Español con pareja extranjera",2019,36.1
