series_id,series_name,year,value
EAES627,Mujeres. Andalucía. Dato base. Media. ,2023,22714.95
EAES627,Mujeres. Andalucía. Dato base. Media. ,2022,21729.48
EAES627,Mujeres. Andalucía. Dato base. Media. ,2021,20427.8
EAES627,Mujeres. Andalucía. Dato base. Media. ,2020,19517.52
EAES627,Mujeres. Andalucía. Dato base. Media. ,2019,19391.52
EAES627,Mujeres. Andalucía. Dato base. Media. ,2018,18672.11
EAES627,Mujeres. Andalucía. Dato base. Media. ,2017,18287.29
EAES627,Mujeres. Andalucía. Dato base. Media. ,2016,18177.37
EAES627,Mujeres. Andalucía. Dato base. Media. ,2015,18340.96
EAES627,Mujeres. Andalucía. Dato base. Media. ,2014,17576.13
EAES627,Mujeres. Andalucía. Dato base. Media. ,2013,17690.19
EAES627,Mujeres. Andalucía. Dato base. Media. ,2012,17828.44
EAES627,Mujeres. Andalucía. Dato base. Media. ,2011,18389.21
EAES627,Mujeres. Andalucía. Dato base. Media. ,2010,17921.33
EAES627,Mujeres. Andalucía. Dato base. Media. ,2009,18371.23
EAES627,Mujeres. Andalucía. Dato base. Media. ,2008,17298.33
EAES625,Mujeres. Andalucía. Dato base. 25. ,2023,13092.45
EAES625,Mujeres. Andalucía. Dato base. 25. ,2022,12385.05
EAES625,Mujeres. Andalucía. Dato base. 25. ,2021,11828.88
EAES625,Mujeres. Andalucía. Dato base. 25. ,2020,10942.79
EAES625,Mujeres. Andalucía. Dato base. 25. ,2019,10818.08
EAES625,Mujeres. Andalucía. Dato base. 25. ,2018,9780.75
EAES625,Mujeres. Andalucía. Dato base. 25. ,2017,9907.8
EAES625,Mujeres. Andalucía. Dato base. 25. ,2016,9826.35
EAES625,Mujeres. Andalucía. Dato base. 25. ,2015,9714.12
EAES625,Mujeres. Andalucía. Dato base. 25. ,2014,9096.52
EAES625,Mujeres. Andalucía. Dato base. 25. ,2013,9184.41
EAES625,Mujeres. Andalucía. Dato base. 25. ,2012,9926.27
EAES625,Mujeres. Andalucía. Dato base. 25. ,2011,9858.12
EAES625,Mujeres. Andalucía. Dato base. 25. ,2010,9967.4
EAES625,Mujeres. Andalucía. Dato base. 25. ,2009,10054.28
EAES625,Mujeres. Andalucía. Dato base. 25. ,2008,9859.25
EAES624,Mujeres. Andalucía. Dato base. 50. ,2023,18151.97
EAES624,Mujeres. Andalucía. Dato base. 50. ,2022,17692.39
EAES624,Mujeres. Andalucía. Dato base. 50. ,2021,16516.76
EAES624,Mujeres. Andalucía. Dato base. 50. ,2020,15743.42
EAES624,Mujeres. Andalucía. Dato base. 50. ,2019,15977.45
EAES624,Mujeres. Andalucía. Dato base. 50. ,2018,15392.05
EAES624,Mujeres. Andalucía. Dato base. 50. ,2017,15368.02
EAES624,Mujeres. Andalucía. Dato base. 50. ,2016,15203.96
EAES624,Mujeres. Andalucía. Dato base. 50. ,2015,15295.34
EAES624,Mujeres. Andalucía. Dato base. 50. ,2014,15044.26
EAES624,Mujeres. Andalucía. Dato base. 50. ,2013,15029.15
