series_id,series_name,year,quarter,period,value
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2025,"{'Codigo': 'II', 'Nombre': 'T2'}",,54.55
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2025,"{'Codigo': 'I', 'Nombre': 'T1'}",,53.95
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2024,"{'Codigo': 'IV', 'Nombre': 'T4'}",,54.27
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2024,"{'Codigo': 'III', 'Nombre': 'T3'}",,54.68
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2024,"{'Codigo': 'II', 'Nombre': 'T2'}",,54.1
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2024,"{'Codigo': 'I', 'Nombre': 'T1'}",,52.93
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2023,"{'Codigo': 'IV', 'Nombre': 'T4'}",,53.19
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2023,"{'Codigo': 'III', 'Nombre': 'T3'}",,53.01
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2023,"{'Codigo': 'II', 'Nombre': 'T2'}",,53.15
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2023,"{'Codigo': 'I', 'Nombre': 'T1'}",,52.66
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2022,"{'Codigo': 'IV', 'Nombre': 'T4'}",,51.9
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2022,"{'Codigo': 'III', 'Nombre': 'T3'}",,53.24
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2022,"{'Codigo': 'II', 'Nombre': 'T2'}",,52.89
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2022,"{'Codigo': 'I', 'Nombre': 'T1'}",,52.25
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2021,"{'Codigo': 'IV', 'Nombre': 'T4'}",,52.61
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2021,"{'Codigo': 'III', 'Nombre': 'T3'}",,51.44
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2021,"{'Codigo': 'II', 'Nombre': 'T2'}",,51.91
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2021,"{'Codigo': 'I', 'Nombre': 'T1'}",,50.65
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2020,"{'Codigo': 'IV', 'Nombre': 'T4'}",,51.4
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2020,"{'Codigo': 'III', 'Nombre': 'T3'}",,50.35
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2020,"{'Codigo': 'II', 'Nombre': 'T2'}",,49.09
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2020,"{'Codigo': 'I', 'Nombre': 'T1'}",,51.82
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2019,"{'Codigo': 'IV', 'Nombre': 'T4'}",,52.02
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2019,"{'Codigo': 'III', 'Nombre': 'T3'}",,51.99
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2019,"{'Codigo': 'II', 'Nombre': 'T2'}",,52.39
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2019,"{'Codigo': 'I', 'Nombre': 'T1'}",,52.08
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2018,"{'Codigo': 'IV', 'Nombre': 'T4'}",,52.5
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2018,"{'Codigo': 'III', 'Nombre': 'T3'}",,51.58
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2018,"{'Codigo': 'II', 'Nombre': 'T2'}",,51.05
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2018,"{'Codigo': 'I', 'Nombre': 'T1'}",,50.16
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2017,"{'Codigo': 'IV', 'Nombre': 'T4'}",,50.12
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2017,"{'Codigo': 'III', 'Nombre': 'T3'}",,49.89
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2017,"{'Codigo': 'II', 'Nombre': 'T2'}",,49.41
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2017,"{'Codigo': 'I', 'Nombre': 'T1'}",,49.03
EPA442682,Tasa de empleo de la población. Hombres. Andalucía. Total. ,2016,"{'Codigo': 'IV', 'Nombre': 'T4'}",,48.0
