year,comunidad_autonoma,tipo_divorcio,numero_divorcios
2013,Andalucía,Divorcio No Contencioso,11381.0
2013,Andalucía,Divorcio contencioso,5093.0
2013,Andalucía,Total,16473.0
2013,Aragón,Divorcio No Contencioso,1700.0
2013,Aragón,Divorcio contencioso,449.0
2013,Aragón,Total,2149.0
2013,Asturias,Divorcio No Contencioso,1714.0
2013,Asturias,Divorcio contencioso,513.0
2013,Asturias,Total,2227.0
2013,Canarias,Divorcio No Contencioso,4174.0
2013,Canarias,Divorcio contencioso,1952.0
2013,Canarias,Total,6126.0
2013,Cantabria,Divorcio No Contencioso,884.0
2013,Cantabria,Divorcio contencioso,262.0
2013,Cantabria,Total,1145.0
2013,Castilla y León,Divorcio No Contencioso,2897.0
2013,Castilla y León,Divorcio contencioso,1043.0
2013,Castilla y León,Total,3939.0
2013,Castilla-La Mancha,Divorcio No Contencioso,2443.0
2013,Castilla-La Mancha,Divorcio contencioso,871.0
2013,Castilla-La Mancha,Total,3314.0
2013,Cataluña,Divorcio No Contencioso,14454.0
2013,Cataluña,Divorcio contencioso,3261.0
2013,Cataluña,Total,17715.0
2013,Ceuta,Divorcio No Contencioso,187.0
2013,Ceuta,Divorcio contencioso,32.0
2013,Ceuta,Total,219.0
2013,Comunidad de Madrid,Divorcio No Contencioso,9930.0
2013,Comunidad de Madrid,Divorcio contencioso,3373.0
2013,Comunidad de Madrid,Total,13303.0
2013,Comunitat Valenciana,Divorcio No Contencioso,8960.0
2013,Comunitat Valenciana,Divorcio contencioso,2478.0
2013,Comunitat Valenciana,Total,11438.0
2013,Extremadura,Divorcio No Contencioso,1031.0
2013,Extremadura,Divorcio contencioso,434.0
2013,Extremadura,Total,1465.0
2013,Galicia,Divorcio No Contencioso,3932.0
2013,Galicia,Divorcio contencioso,1359.0
2013,Galicia,Total,5291.0
2013,Illes Balears,Divorcio No Contencioso,1889.0
2013,Illes Balears,Divorcio contencioso,501.0
2013,Illes Balears,Total,2389.0
2013,La Rioja,Divorcio No Contencioso,474.0
2013,La Rioja,Divorcio contencioso,125.0
2013,La Rioja,Total,599.0
2013,Melilla,Divorcio No Contencioso,108.0
2013,Melilla,Divorcio contencioso,73.0
2013,Melilla,Total,181.0
2013,Navarra,Divorcio No Contencioso,930.0
2013,Navarra,Divorcio contencioso,124.0
2013,Navarra,Total,1054.0
2013,País Vasco,Divorcio No Contencioso,2846.0
2013,País Vasco,Divorcio contencioso,726.0
2013,País Vasco,Total,3572.0
2013,Región de Murcia,Divorcio No Contencioso,2027.0
2013,Región de Murcia,Divorcio contencioso,799.0
2013,Región de Murcia,Total,2826.0
2014,Andalucía,Divorcio No Contencioso,12244.0
2014,Andalucía,Divorcio contencioso,5133.0
2014,Andalucía,Total,17377.0
2014,Aragón,Divorcio No Contencioso,1827.0
2014,Aragón,Divorcio contencioso,555.0
2014,Aragón,Total,2382.0
2014,Asturias,Divorcio No Contencioso,1788.0
2014,Asturias,Divorcio contencioso,669.0
2014,Asturias,Total,2456.0
2014,Canarias,Divorcio No Contencioso,3723.0
2014,Canarias,Divorcio contencioso,1660.0
2014,Canarias,Total,5383.0
2014,Cantabria,Divorcio No Contencioso,938.0
2014,Cantabria,Divorcio contencioso,297.0
2014,Cantabria,Total,1235.0
2014,Castilla y León,Divorcio No Contencioso,3117.0
2014,Castilla y León,Divorcio contencioso,1019.0
2014,Castilla y León,Total,4137.0
2014,Castilla-La Mancha,Divorcio No Contencioso,2629.0
2014,Castilla-La Mancha,Divorcio contencioso,868.0
2014,Castilla-La Mancha,Total,3497.0
2014,Cataluña,Divorcio No Contencioso,15474.0
2014,Cataluña,Divorcio contencioso,3266.0
2014,Cataluña,Total,18740.0
2014,Ceuta,Divorcio No Contencioso,147.0
2014,Ceuta,Divorcio contencioso,63.0
2014,Ceuta,Total,210.0
2014,Comunidad de Madrid,Divorcio No Contencioso,11195.0
2014,Comunidad de Madrid,Divorcio contencioso,3415.0
2014,Comunidad de Madrid,Total,14611.0
2014,Comunitat Valenciana,Divorcio No Contencioso,9157.0
2014,Comunitat Valenciana,Divorcio contencioso,2632.0
2014,Comunitat Valenciana,Total,11789.0
2014,Extremadura,Divorcio No Contencioso,1389.0
2014,Extremadura,Divorcio contencioso,477.0
2014,Extremadura,Total,1867.0
2014,Galicia,Divorcio No Contencioso,4164.0
2014,Galicia,Divorcio contencioso,1507.0
2014,Galicia,Total,5671.0
2014,Illes Balears,Divorcio No Contencioso,1921.0
2014,Illes Balears,Divorcio contencioso,470.0
2014,Illes Balears,Total,2391.0
2014,La Rioja,Divorcio No Contencioso,552.0
2014,La Rioja,Divorcio contencioso,161.0
2014,La Rioja,Total,713.0
2014,Melilla,Divorcio No Contencioso,84.0
2014,Melilla,Divorcio contencioso,92.0
2014,Melilla,Total,175.0
2014,Navarra,Divorcio No Contencioso,1049.0
2014,Navarra,Divorcio contencioso,218.0
2014,Navarra,Total,1267.0
2014,País Vasco,Divorcio No Contencioso,3106.0
2014,País Vasco,Divorcio contencioso,775.0
2014,País Vasco,Total,3881.0
2014,Región de Murcia,Divorcio No Contencioso,2142.0
2014,Región de Murcia,Divorcio contencioso,821.0
2014,Región de Murcia,Total,2963.0
2015,Andalucía,Divorcio No Contencioso,11934.0
2015,Andalucía,Divorcio contencioso,5096.0
2015,Andalucía,Total,17030.0
2015,Aragón,Divorcio No Contencioso,2207.0
2015,Aragón,Divorcio contencioso,647.0
2015,Aragón,Total,2853.0
2015,Asturias,Divorcio No Contencioso,1666.0
2015,Asturias,Divorcio contencioso,598.0
2015,Asturias,Total,2264.0
2015,Canarias,Divorcio No Contencioso,3454.0
2015,Canarias,Divorcio contencioso,1551.0
2015,Canarias,Total,5005.0
2015,Cantabria,Divorcio No Contencioso,987.0
2015,Cantabria,Divorcio contencioso,313.0
2015,Cantabria,Total,1300.0
2015,Castilla y León,Divorcio No Contencioso,2833.0
2015,Castilla y León,Divorcio contencioso,1032.0
2015,Castilla y León,Total,3865.0
2015,Castilla-La Mancha,Divorcio No Contencioso,2948.0
2015,Castilla-La Mancha,Divorcio contencioso,990.0
2015,Castilla-La Mancha,Total,3938.0
2015,Cataluña,Divorcio No Contencioso,14997.0
2015,Cataluña,Divorcio contencioso,3065.0
2015,Cataluña,Total,18062.0
2015,Comunidad de Madrid,Divorcio No Contencioso,10071.0
2015,Comunidad de Madrid,Divorcio contencioso,3118.0
2015,Comunidad de Madrid,Total,13189.0
2015,Comunitat Valenciana,Divorcio No Contencioso,8313.0
2015,Comunitat Valenciana,Divorcio contencioso,2492.0
2015,Comunitat Valenciana,Total,10805.0
2015,Extremadura,Divorcio No Contencioso,1331.0
2015,Extremadura,Divorcio contencioso,515.0
2015,Extremadura,Total,1846.0
2015,Galicia,Divorcio No Contencioso,3976.0
2015,Galicia,Divorcio contencioso,1517.0
2015,Galicia,Total,5494.0
2015,Illes Balears,Divorcio No Contencioso,1979.0
2015,Illes Balears,Divorcio contencioso,444.0
2015,Illes Balears,Total,2423.0
2015,La Rioja,Divorcio No Contencioso,455.0
2015,La Rioja,Divorcio contencioso,117.0
2015,La Rioja,Total,572.0
2015,Melilla,Divorcio No Contencioso,156.0
2015,Melilla,Divorcio contencioso,34.0
2015,Melilla,Total,190.0
2015,Navarra,Divorcio No Contencioso,883.0
2015,Navarra,Divorcio contencioso,236.0
2015,Navarra,Total,1119.0
2015,País Vasco,Divorcio No Contencioso,3131.0
2015,País Vasco,Divorcio contencioso,739.0
2015,País Vasco,Total,3870.0
2015,Región de Murcia,Divorcio No Contencioso,1957.0
2015,Región de Murcia,Divorcio contencioso,780.0
2015,Región de Murcia,Total,2736.0
2016,Andalucía,Divorcio No Contencioso,12108.0
2016,Andalucía,Divorcio contencioso,4861.0
2016,Andalucía,Total,16969.0
2016,Aragón,Divorcio No Contencioso,1870.0
2016,Aragón,Divorcio contencioso,519.0
2016,Aragón,Total,2389.0
2016,Asturias,Divorcio No Contencioso,1738.0
2016,Asturias,Divorcio contencioso,527.0
2016,Asturias,Total,2265.0
2016,Canarias,Divorcio No Contencioso,3421.0
2016,Canarias,Divorcio contencioso,1554.0
2016,Canarias,Total,4975.0
2016,Cantabria,Divorcio No Contencioso,884.0
2016,Cantabria,Divorcio contencioso,291.0
2016,Cantabria,Total,1174.0
2016,Castilla y León,Divorcio No Contencioso,2951.0
2016,Castilla y León,Divorcio contencioso,970.0
2016,Castilla y León,Total,3921.0
2016,Castilla-La Mancha,Divorcio No Contencioso,2638.0
2016,Castilla-La Mancha,Divorcio contencioso,996.0
2016,Castilla-La Mancha,Total,3634.0
2016,Cataluña,Divorcio No Contencioso,14979.0
2016,Cataluña,Divorcio contencioso,2953.0
2016,Cataluña,Total,17931.0
2016,Ceuta,Divorcio No Contencioso,151.0
2016,Ceuta,Divorcio contencioso,65.0
2016,Ceuta,Total,215.0
2016,Comunidad de Madrid,Divorcio No Contencioso,10200.0
2016,Comunidad de Madrid,Divorcio contencioso,2979.0
2016,Comunidad de Madrid,Total,13179.0
2016,Comunitat Valenciana,Divorcio No Contencioso,9274.0
2016,Comunitat Valenciana,Divorcio contencioso,2629.0
2016,Comunitat Valenciana,Total,11904.0
2016,Extremadura,Divorcio No Contencioso,1321.0
2016,Extremadura,Divorcio contencioso,466.0
2016,Extremadura,Total,1787.0
2016,Galicia,Divorcio No Contencioso,3933.0
2016,Galicia,Divorcio contencioso,1404.0
2016,Galicia,Total,5337.0
2016,Illes Balears,Divorcio No Contencioso,1918.0
2016,Illes Balears,Divorcio contencioso,466.0
2016,Illes Balears,Total,2383.0
2016,La Rioja,Divorcio No Contencioso,505.0
2016,La Rioja,Divorcio contencioso,124.0
2016,La Rioja,Total,629.0
2016,Melilla,Divorcio No Contencioso,112.0
2016,Melilla,Divorcio contencioso,58.0
2016,Melilla,Total,170.0
2016,Navarra,Divorcio No Contencioso,914.0
2016,Navarra,Divorcio contencioso,244.0
2016,Navarra,Total,1157.0
2016,País Vasco,Divorcio No Contencioso,3180.0
2016,País Vasco,Divorcio contencioso,683.0
2016,País Vasco,Total,3863.0
2016,Región de Murcia,Divorcio No Contencioso,2066.0
2016,Región de Murcia,Divorcio contencioso,874.0
2016,Región de Murcia,Total,2940.0
2017,Andalucía,Divorcio No Contencioso,12752.0
2017,Andalucía,Divorcio contencioso,4685.0
2017,Andalucía,Total,17437.0
2017,Aragón,Divorcio No Contencioso,1796.0
2017,Aragón,Divorcio contencioso,490.0
2017,Aragón,Total,2286.0
2017,Asturias,Divorcio No Contencioso,1742.0
2017,Asturias,Divorcio contencioso,510.0
2017,Asturias,Total,2252.0
2017,Canarias,Divorcio No Contencioso,3677.0
2017,Canarias,Divorcio contencioso,1431.0
2017,Canarias,Total,5108.0
2017,Cantabria,Divorcio No Contencioso,987.0
2017,Cantabria,Divorcio contencioso,284.0
2017,Cantabria,Total,1271.0
2017,Castilla y León,Divorcio No Contencioso,2919.0
2017,Castilla y León,Divorcio contencioso,949.0
2017,Castilla y León,Total,3868.0
2017,Castilla-La Mancha,Divorcio No Contencioso,2854.0
2017,Castilla-La Mancha,Divorcio contencioso,876.0
2017,Castilla-La Mancha,Total,3730.0
2017,Cataluña,Divorcio No Contencioso,14336.0
2017,Cataluña,Divorcio contencioso,3196.0
2017,Cataluña,Total,17532.0
2017,Ceuta,Divorcio No Contencioso,112.0
2017,Ceuta,Divorcio contencioso,100.0
2017,Ceuta,Total,212.0
2017,Comunidad de Madrid,Divorcio No Contencioso,11142.0
2017,Comunidad de Madrid,Divorcio contencioso,2967.0
2017,Comunidad de Madrid,Total,14109.0
2017,Comunitat Valenciana,Divorcio No Contencioso,9020.0
2017,Comunitat Valenciana,Divorcio contencioso,2307.0
2017,Comunitat Valenciana,Total,11327.0
2017,Extremadura,Divorcio No Contencioso,1359.0
2017,Extremadura,Divorcio contencioso,465.0
2017,Extremadura,Total,1824.0
2017,Galicia,Divorcio No Contencioso,3964.0
2017,Galicia,Divorcio contencioso,1455.0
2017,Galicia,Total,5419.0
2017,Illes Balears,Divorcio No Contencioso,2026.0
2017,Illes Balears,Divorcio contencioso,522.0
2017,Illes Balears,Total,2548.0
2017,La Rioja,Divorcio No Contencioso,456.0
2017,La Rioja,Divorcio contencioso,118.0
2017,La Rioja,Total,574.0
2017,Melilla,Divorcio No Contencioso,111.0
2017,Melilla,Divorcio contencioso,62.0
2017,Melilla,Total,172.0
2017,Navarra,Divorcio No Contencioso,948.0
2017,Navarra,Divorcio contencioso,402.0
2017,Navarra,Total,1350.0
2017,País Vasco,Divorcio No Contencioso,3151.0
2017,País Vasco,Divorcio contencioso,714.0
2017,País Vasco,Total,3865.0
2017,Región de Murcia,Divorcio No Contencioso,2265.0
2017,Región de Murcia,Divorcio contencioso,810.0
2017,Región de Murcia,Total,3075.0
2018,Andalucía,Divorcio No Contencioso,12478.0
2018,Andalucía,Divorcio contencioso,4457.0
2018,Andalucía,Total,16935.0
2018,Aragón,Divorcio No Contencioso,2026.0
2018,Aragón,Divorcio contencioso,511.0
2018,Aragón,Total,2538.0
2018,Asturias,Divorcio No Contencioso,1605.0
2018,Asturias,Divorcio contencioso,473.0
2018,Asturias,Total,2078.0
2018,Canarias,Divorcio No Contencioso,3643.0
2018,Canarias,Divorcio contencioso,1317.0
2018,Canarias,Total,4960.0
2018,Cantabria,Divorcio No Contencioso,918.0
2018,Cantabria,Divorcio contencioso,262.0
2018,Cantabria,Total,1181.0
2018,Castilla y León,Divorcio No Contencioso,3033.0
2018,Castilla y León,Divorcio contencioso,1015.0
2018,Castilla y León,Total,4048.0
2018,Castilla-La Mancha,Divorcio No Contencioso,2779.0
2018,Castilla-La Mancha,Divorcio contencioso,1015.0
2018,Castilla-La Mancha,Total,3795.0
2018,Cataluña,Divorcio No Contencioso,14297.0
2018,Cataluña,Divorcio contencioso,2752.0
2018,Cataluña,Total,17049.0
2018,Ceuta,Divorcio No Contencioso,99.0
2018,Ceuta,Divorcio contencioso,100.0
2018,Ceuta,Total,199.0
2018,Comunidad de Madrid,Divorcio No Contencioso,9933.0
2018,Comunidad de Madrid,Divorcio contencioso,2940.0
2018,Comunidad de Madrid,Total,12873.0
2018,Comunitat Valenciana,Divorcio No Contencioso,9187.0
2018,Comunitat Valenciana,Divorcio contencioso,2345.0
2018,Comunitat Valenciana,Total,11533.0
2018,Extremadura,Divorcio No Contencioso,1397.0
2018,Extremadura,Divorcio contencioso,398.0
2018,Extremadura,Total,1795.0
2018,Galicia,Divorcio No Contencioso,3814.0
2018,Galicia,Divorcio contencioso,1138.0
2018,Galicia,Total,4953.0
2018,Illes Balears,Divorcio No Contencioso,2050.0
2018,Illes Balears,Divorcio contencioso,449.0
2018,Illes Balears,Total,2498.0
2018,La Rioja,Divorcio No Contencioso,474.0
2018,La Rioja,Divorcio contencioso,123.0
2018,La Rioja,Total,597.0
2018,Melilla,Divorcio No Contencioso,95.0
2018,Melilla,Divorcio contencioso,66.0
2018,Melilla,Total,161.0
2018,Navarra,Divorcio No Contencioso,846.0
2018,Navarra,Divorcio contencioso,375.0
2018,Navarra,Total,1221.0
