year,comunidad_autonoma,tipo_union,nacionalidad,numero_parejas
2014,Andalucía,Pareja casada,Ambos españoles,1640.7
2014,Andalucía,Pareja casada,Ambos extranjeros,100.5
2014,Andalucía,Pareja casada,Español con pareja extranjera,36.2
2014,Andalucía,Pareja casada,Española con pareja extranjera,21.7
2014,Andalucía,Pareja casada,Total (Parejas),1799.2
2014,Andalucía,Pareja de hecho,Ambos españoles,194.0
2014,Andalucía,Pareja de hecho,Ambos extranjeros,17.2
2014,Andalucía,Pareja de hecho,Español con pareja extranjera,15.5
2014,Andalucía,Pareja de hecho,Española con pareja extranjera,8.3
2014,Andalucía,Pareja de hecho,Total (Parejas),235.0
2014,Andalucía,Total (Parejas),Ambos españoles,1834.7
2014,Andalucía,Total (Parejas),Ambos extranjeros,117.7
2014,Andalucía,Total (Parejas),Español con pareja extranjera,51.8
2014,Andalucía,Total (Parejas),Española con pareja extranjera,30.0
2014,Andalucía,Total (Parejas),Total (Parejas),2034.2
2014,Aragón,Pareja casada,Ambos españoles,261.4
2014,Aragón,Pareja casada,Ambos extranjeros,23.9
2014,Aragón,Pareja casada,Español con pareja extranjera,7.8
2014,Aragón,Pareja casada,Española con pareja extranjera,2.1
2014,Aragón,Pareja casada,Total (Parejas),295.1
2014,Aragón,Pareja de hecho,Ambos españoles,27.3
2014,Aragón,Pareja de hecho,Ambos extranjeros,4.2
2014,Aragón,Pareja de hecho,Español con pareja extranjera,2.3
2014,Aragón,Pareja de hecho,Española con pareja extranjera,1.6
2014,Aragón,Pareja de hecho,Total (Parejas),35.3
2014,Aragón,Total (Parejas),Ambos españoles,288.7
2014,Aragón,Total (Parejas),Ambos extranjeros,28.1
2014,Aragón,Total (Parejas),Español con pareja extranjera,10.1
2014,Aragón,Total (Parejas),Española con pareja extranjera,3.6
2014,Aragón,Total (Parejas),Total (Parejas),330.5
2014,Asturias,Pareja casada,Ambos españoles,228.3
2014,Asturias,Pareja casada,Ambos extranjeros,4.2
2014,Asturias,Pareja casada,Español con pareja extranjera,3.5
2014,Asturias,Pareja casada,Española con pareja extranjera,0.8
2014,Asturias,Pareja casada,Total (Parejas),236.8
2014,Asturias,Pareja de hecho,Ambos españoles,24.7
2014,Asturias,Pareja de hecho,Ambos extranjeros,0.7
2014,Asturias,Pareja de hecho,Español con pareja extranjera,0.9
2014,Asturias,Pareja de hecho,Española con pareja extranjera,1.3
2014,Asturias,Pareja de hecho,Total (Parejas),27.5
2014,Asturias,Total (Parejas),Ambos españoles,252.9
2014,Asturias,Total (Parejas),Ambos extranjeros,4.8
2014,Asturias,Total (Parejas),Español con pareja extranjera,4.4
2014,Asturias,Total (Parejas),Española con pareja extranjera,2.1
2014,Asturias,Total (Parejas),Total (Parejas),264.3
2014,Canarias,Pareja casada,Ambos españoles,316.4
2014,Canarias,Pareja casada,Ambos extranjeros,42.4
2014,Canarias,Pareja casada,Español con pareja extranjera,17.6
2014,Canarias,Pareja casada,Española con pareja extranjera,10.3
2014,Canarias,Pareja casada,Total (Parejas),386.8
2014,Canarias,Pareja de hecho,Ambos españoles,74.9
2014,Canarias,Pareja de hecho,Ambos extranjeros,15.6
2014,Canarias,Pareja de hecho,Español con pareja extranjera,8.8
2014,Canarias,Pareja de hecho,Española con pareja extranjera,8.4
2014,Canarias,Pareja de hecho,Total (Parejas),107.7
2014,Canarias,Total (Parejas),Ambos españoles,391.4
2014,Canarias,Total (Parejas),Ambos extranjeros,58.0
2014,Canarias,Total (Parejas),Español con pareja extranjera,26.4
2014,Canarias,Total (Parejas),Española con pareja extranjera,18.7
2014,Canarias,Total (Parejas),Total (Parejas),494.5
2014,Cantabria,Pareja casada,Ambos españoles,116.0
2014,Cantabria,Pareja casada,Ambos extranjeros,4.5
2014,Cantabria,Pareja casada,Español con pareja extranjera,3.4
2014,Cantabria,Pareja casada,Española con pareja extranjera,0.7
2014,Cantabria,Pareja casada,Total (Parejas),124.6
2014,Cantabria,Pareja de hecho,Ambos españoles,14.4
2014,Cantabria,Pareja de hecho,Ambos extranjeros,0.7
2014,Cantabria,Pareja de hecho,Español con pareja extranjera,1.7
2014,Cantabria,Pareja de hecho,Española con pareja extranjera,0.8
2014,Cantabria,Pareja de hecho,Total (Parejas),17.6
2014,Cantabria,Total (Parejas),Ambos españoles,130.4
2014,Cantabria,Total (Parejas),Ambos extranjeros,5.2
2014,Cantabria,Total (Parejas),Español con pareja extranjera,5.1
2014,Cantabria,Total (Parejas),Española con pareja extranjera,1.6
2014,Cantabria,Total (Parejas),Total (Parejas),142.2
2014,Castilla y León,Pareja casada,Ambos españoles,522.0
2014,Castilla y León,Pareja casada,Ambos extranjeros,20.5
2014,Castilla y León,Pareja casada,Español con pareja extranjera,8.3
2014,Castilla y León,Pareja casada,Española con pareja extranjera,2.9
2014,Castilla y León,Pareja casada,Total (Parejas),553.8
2014,Castilla y León,Pareja de hecho,Ambos españoles,53.3
2014,Castilla y León,Pareja de hecho,Ambos extranjeros,6.3
2014,Castilla y León,Pareja de hecho,Español con pareja extranjera,3.9
2014,Castilla y León,Pareja de hecho,Española con pareja extranjera,1.6
2014,Castilla y León,Pareja de hecho,Total (Parejas),65.0
2014,Castilla y León,Total (Parejas),Ambos españoles,575.3
2014,Castilla y León,Total (Parejas),Ambos extranjeros,26.8
2014,Castilla y León,Total (Parejas),Español con pareja extranjera,12.2
2014,Castilla y León,Total (Parejas),Española con pareja extranjera,4.5
2014,Castilla y León,Total (Parejas),Total (Parejas),618.8
2014,Castilla-La Mancha,Pareja casada,Ambos españoles,425.8
2014,Castilla-La Mancha,Pareja casada,Ambos extranjeros,33.2
2014,Castilla-La Mancha,Pareja casada,Español con pareja extranjera,6.4
2014,Castilla-La Mancha,Pareja casada,Española con pareja extranjera,5.0
2014,Castilla-La Mancha,Pareja casada,Total (Parejas),470.5
